Date,Game_Time,Team_1,Team_2,Winner,Score_1,Score_2,Game,T_Name
29.03.,21:00,Fiji 7sæ,New Zealand 7s,Fiji 7sæ,33æ,æ19,45,HK7s
29.03.,20:30,South Africa 7sæ,Samoa 7s,South Africa 7sæ,26æ,æ5,44,HK7s
29.03.,20:00,Australia 7sæ,USA 7s,Australia 7sæ,21æ,æ17,43,HK7s
29.03.,19:30,France 7s,Scotland 7sæ,Scotland 7sæ,5æ,æ26,42,HK7s
29.03.,19:00,Kenya 7sæ,Japan 7s,Kenya 7sæ,26æ,æ7,41,HK7s
29.03.,18:08,Samoa 7s,New Zealand 7sæ,New Zealand 7sæ,14æ,æ15,40,HK7s
29.03.,17:46,Fiji 7sæ,South Africa 7s,Fiji 7sæ,21æ,æ15,39,HK7s
29.03.,17:24,USA 7sæ,Argentina 7s,USA 7sæ,28æ,æ14,38,HK7s
29.03.,17:02,England 7s,Australia 7sæ,Australia 7sæ,7æ,æ12,37,HK7s
29.03.,16:40,Wales 7s,Scotland 7sæ,Scotland 7sæ,0æ,æ34,36,HK7s
29.03.,16:18,Canada 7s,France 7sæ,France 7sæ,19æ,æ38,35,HK7s
29.03.,15:56,Belgium 7s,Japan 7sæ,Japan 7sæ,7æ,æ42,34,HK7s
29.03.,15:34,Kenya 7sæ,Portugal 7s,Kenya 7sæ,21æ,æ0,33,HK7s
29.03.,14:04,New Zealand 7sæ,Argentina 7s,New Zealand 7sæ,31æ,æ21,32,HK7s
29.03.,13:42,USA 7s,Samoa 7sæ,Samoa 7sæ,15æ,æ26,31,HK7s
29.03.,13:20,South Africa 7sæ,Australia 7s,South Africa 7sæ,7æ,æ5,30,HK7s
29.03.,12:58,Fiji 7sæ,England 7s,Fiji 7sæ,14æ,æ12,29,HK7s
29.03.,12:36,Scotland 7sæ,Japan 7s,Scotland 7sæ,28æ,æ7,28,HK7s
29.03.,12:14,Wales 7sæ,Belgium 7s,Wales 7sæ,38æ,æ7,27,HK7s
29.03.,11:52,France 7sæ,Portugal 7s,France 7sæ,26æ,æ14,26,HK7s
29.03.,11:30,Canada 7sæ,Kenya 7s,Canada 7sæ,21æ,æ10,25,HK7s
28.03.,19:48,Fiji 7s,Canada 7s,Fiji 7s,45æ,æ0,24,HK7s
28.03.,19:26,New Zealand 7s,Australia 7s,New Zealand 7s,14æ,æ5,23,HK7s
28.03.,19:04,South Africa 7s,France 7s,South Africa 7s,29æ,æ7,22,HK7s
28.03.,18:42,USA 7s,England 7s,,21æ,æ21,21,HK7s
28.03.,18:20,Samoa 7s,Belgium 7s,Samoa 7s,29æ,æ5,20,HK7s
28.03.,17:58,Scotland 7s,Portugal 7s,Scotland 7s,14æ,æ12,19,HK7s
28.03.,17:36,Argentina 7s,Japan 7s,Argentina 7s,19æ,æ14,18,HK7s
28.03.,17:14,Kenya 7s,Wales 7s,Wales 7s,12æ,æ19,17,HK7s
28.03.,15:46,Fiji 7s,Belgium 7s,Fiji 7s,38æ,æ7,16,HK7s
28.03.,15:24,Canada 7s,Samoa 7s,Samoa 7s,19æ,æ24,15,HK7s
28.03.,15:02,New Zealand 7s,Portugal 7s,,24æ,æ24,14,HK7s
28.03.,14:40,Australia 7s,Scotland 7s,Australia 7s,21æ,æ5,13,HK7s
28.03.,14:18,South Africa 7s,Japan 7s,South Africa 7s,27æ,æ0,12,HK7s
28.03.,13:56,France 7s,Argentina 7s,Argentina 7s,5æ,æ26,11,HK7s
28.03.,13:34,USA 7s,Wales 7s,USA 7s,40æ,æ12,10,HK7s
28.03.,13:12,England 7s,Kenya 7s,England 7s,17æ,æ7,9,HK7s
27.03.,22:44,Fiji 7s,Samoa 7s,Fiji 7s,38æ,æ12,8,HK7s
27.03.,22:22,New Zealand 7s,Scotland 7s,New Zealand 7s,26æ,æ7,7,HK7s
27.03.,22:00,South Africa 7s,Argentina 7s,South Africa 7s,24æ,æ0,6,HK7s
27.03.,21:38,USA 7s,Kenya 7s,USA 7s,21æ,æ14,5,HK7s
27.03.,21:16,Canada 7s,Belgium 7s,Canada 7s,28æ,æ12,4,HK7s
27.03.,20:54,Australia 7s,Portugal 7s,Australia 7s,33æ,æ5,3,HK7s
27.03.,20:32,France 7s,Japan 7s,France 7s,24æ,æ7,2,HK7s
27.03.,20:10,England 7s,Wales 7s,England 7s,26æ,æ19,1,HK7s
18.05.,2:27,Australia 7s,USA 7sæ,USA 7sæ,22æ,æ45,45,L7s
18.05.,2:02,Fiji 7sæ,England 7s,Fiji 7sæ,26æ,æ12,44,L7s
18.05.,1:32,South Africa 7s,New Zealand 7sæ,New Zealand 7sæ,14æ,æ26,43,L7s
18.05.,1:02,Kenya 7sæ,Argentina 7s,Kenya 7sæ,26æ,æ12,42,L7s
18.05.,0:22,Japan 7sæ,France 7s,Japan 7sæ,21æ,æ19,41,L7s
17.05.,23:40,USA 7sæ,England 7s,USA 7sæ,43æ,æ12,40,L7s
17.05.,23:18,Fiji 7s,Australia 7sæ,Australia 7sæ,7æ,æ33,39,L7s
17.05.,22:56,Canada 7s,New Zealand 7sæ,New Zealand 7sæ,15æ,æ33,38,L7s
17.05.,22:34,South Africa 7sæ,Scotland 7s,South Africa 7sæ,31æ,æ7,37,L7s
17.05.,22:12,Argentina 7sæ,Wales 7s,Argentina 7sæ,26æ,æ14,36,L7s
17.05.,21:50,Samoa 7s,Kenya 7sæ,Kenya 7sæ,7æ,æ38,35,L7s
17.05.,21:28,France 7sæ,Brazil 7s,France 7sæ,35æ,æ12,34,L7s
17.05.,21:06,Portugal 7s,Japan 7sæ,Japan 7sæ,21æ,æ26,33,L7s
17.05.,20:34,England 7sæ,New Zealand 7s,England 7sæ,21æ,æ17,32,L7s
17.05.,20:12,USA 7sæ,Canada 7s,USA 7sæ,29æ,æ10,31,L7s
17.05.,19:50,Scotland 7s,Australia 7sæ,Australia 7sæ,19æ,æ31,30,L7s
17.05.,19:28,Fiji 7sæ,South Africa 7s,Fiji 7sæ,19æ,æ7,29,L7s
17.05.,19:06,Wales 7sæ,Brazil 7s,Wales 7sæ,29æ,æ0,28,L7s
17.05.,18:44,France 7s,Argentina 7sæ,Argentina 7sæ,14æ,æ17,27,L7s
17.05.,18:22,Kenya 7sæ,Japan 7s,Kenya 7sæ,24æ,æ12,26,L7s
17.05.,18:00,Samoa 7sæ,Portugal 7s,Samoa 7sæ,33æ,æ14,25,L7s
17.05.,2:46,England 7s,Scotland 7s,Scotland 7s,19æ,æ22,24,L7s
17.05.,2:24,Kenya 7s,Brazil 7s,Kenya 7s,19æ,æ14,23,L7s
17.05.,2:02,New Zealand 7s,Australia 7s,New Zealand 7s,24æ,æ10,22,L7s
17.05.,1:40,Wales 7s,Japan 7s,Wales 7s,24æ,æ21,21,L7s
17.05.,1:18,Fiji 7s,Canada 7s,Fiji 7s,31æ,æ14,20,L7s
17.05.,0:56,Argentina 7s,Samoa 7s,Samoa 7s,10æ,æ19,19,L7s
17.05.,0:34,USA 7s,South Africa 7s,USA 7s,21æ,æ12,18,L7s
17.05.,0:12,France 7s,Portugal 7s,France 7s,26æ,æ19,17,L7s
16.05.,23:40,England 7s,Brazil 7s,England 7s,56æ,æ7,16,L7s
16.05.,23:18,Scotland 7s,Kenya 7s,Scotland 7s,26æ,æ12,15,L7s
16.05.,22:56,New Zealand 7s,Japan 7s,New Zealand 7s,26æ,æ14,14,L7s
16.05.,22:34,Australia 7s,Wales 7s,Australia 7s,19æ,æ14,13,L7s
