SERIES.MATCH,T_Name,Game,Poss_ID,Team_1,Team_2,Origin,Start_,End_,Lost
1,GC7s,1,1,ARG,ENG,PK,5,5,Kick
1,GC7s,1,2,ENG,ARG,Kick,2,3,Kick
1,GC7s,1,3,ARG,ENG,Kick,12,12,HE
1,GC7s,1,4,ENG,ARG,Intercept,4,5,Intercepted
1,GC7s,1,5,ARG,ENG,Intercept,11,14,TRY
1,GC7s,1,6,ENG,ARG,Restart,5,8,HE
1,GC7s,1,7,ARG,ENG,PK,8,14,HE
1,GC7s,1,8,ENG,ARG,Scrum,2,14,TRY
1,GC7s,1,9,ARG,ENG,Restart,5,8,PEN
1,GC7s,1,10,ENG,ARG,PK,8,7,Kick
1,GC7s,1,11,ARG,ENG,Kick,3,3,Kicked to touch
1,GC7s,1,12,ARG,ENG,Reclaim,11,11,Intercepted
1,GC7s,1,13,ENG,ARG,Intercept,2,5,PEN
1,GC7s,1,14,ARG,ENG,PK,11,14,TRY
1,GC7s,1,15,ENG,ARG,Restart,6,15,TRY
1,GC7s,1,16,ARG,ENG,Restart,4,2,Kick
1,GC7s,1,17,ENG,ARG,Kick,2,5,PEN
1,GC7s,1,18,ARG,ENG,PK,11,15,TRY
1,GC7s,1,19,ENG,ARG,Restart,3,14,TRY
1,GC7s,1,20,ARG,ENG,Restart,8,8,Kicked to touch
2,GC7s,2,1,USA,CAN,Restart,5,8,Poached
2,GC7s,2,2,CAN,USA,Poach,11,13,HE
2,GC7s,2,3,USA,CAN,Scrum,3,3,Kick
2,GC7s,2,4,CAN,USA,Kick,8,15,Intercepted
2,GC7s,2,5,USA,CAN,Intercept,1,8,PEN
2,GC7s,2,6,CAN,USA,PK,8,11,Intercepted
2,GC7s,2,7,USA,CAN,Intercept,5,14,TRY
2,GC7s,2,8,CAN,USA,Restart,2,13,TRY
2,GC7s,2,9,USA,CAN,Reclaim,7,13,TRY
2,GC7s,2,10,CAN,USA,Line out,8,15,PEN
2,GC7s,2,11,USA,CAN,PK,1,2,PEN
2,GC7s,2,12,CAN,USA,PK,14,15,TRY
2,GC7s,2,13,CAN,USA,Reclaim,8,15,TRY
2,GC7s,2,14,USA,CAN,Restart,5,9,Intercepted
2,GC7s,2,15,CAN,USA,Intercept,7,8,HE
2,GC7s,2,16,USA,CAN,Scrum,8,13,TRY
3,GC7s,3,1,FRA,NZL,Scrum,11,11,HE
3,GC7s,3,2,NZL,FRA,Scrum,5,15,TRY
3,GC7s,3,3,FRA,NZL,Restart,4,15,Counter ruck
3,GC7s,3,4,NZL,FRA,Counter ruck,1,4,Intercepted
3,GC7s,3,5,FRA,NZL,Intercept,12,13,PEN
3,GC7s,3,6,NZL,FRA,PK,3,14,TRY
3,GC7s,3,7,FRA,NZL,Restart,3,2,PEN
3,GC7s,3,8,NZL,FRA,PK,14,14,TRY
3,GC7s,3,9,FRA,NZL,Restart,6,14,TRY
3,GC7s,3,10,NZL,FRA,FK,8,13,Intercepted
3,GC7s,3,11,FRA,NZL,Intercept,3,2,PEN
3,GC7s,3,12,NZL,FRA,PK,14,14,TRY
3,GC7s,3,13,FRA,NZL,Restart,6,5,PEN
3,GC7s,3,14,NZL,FRA,PK,11,13,TRY
3,GC7s,3,15,NZL,FRA,Scrum,11,15,TRY
4,GC7s,4,1,JPN,SAM,Restart,2,14,TRY
4,GC7s,4,2,JPN,SAM,Scrum,11,8,Intercepted
4,GC7s,4,3,SAM,JPN,Intercept,8,14,TRY
4,GC7s,4,4,JPN,SAM,Restart,5,5,Intercepted
4,GC7s,4,5,SAM,JPN,Intercept,11,14,TRY
4,GC7s,4,6,JPN,SAM,Restart,5,8,HE
4,GC7s,4,7,SAM,JPN,Scrum,8,8,Kick
4,GC7s,4,8,JPN,SAM,Kick,1,11,Counter ruck
4,GC7s,4,9,SAM,JPN,Counter ruck,5,14,TRY
4,GC7s,4,10,JPN,SAM,Reclaim,10,11,PEN
4,GC7s,4,11,SAM,JPN,PK,5,14,TRY
4,GC7s,4,12,JPN,SAM,Restart,6,5,Poached
4,GC7s,4,13,SAM,JPN,Poach,11,15,TRY
4,GC7s,4,14,JPN,SAM,Restart,5,9,Poached
4,GC7s,4,15,SAM,JPN,Poach,7,7,HE
4,GC7s,4,16,JPN,SAM,FK,9,11,Poached
4,GC7s,4,17,SAM,JPN,Poach,5,14,TRY
4,GC7s,4,18,JPN,SAM,Restart,6,14,TRY
5,GC7s,5,1,RSA,WAL,Restart,7,15,Counter ruck
5,GC7s,5,2,WAL,RSA,Counter ruck,1,13,Tackled to touch
5,GC7s,5,3,RSA,WAL,Line out,3,2,Kicked to touch
5,GC7s,5,4,WAL,RSA,Line out,7,8,Poached
5,GC7s,5,5,RSA,WAL,Poach,8,15,Line out infraction
5,GC7s,5,6,WAL,RSA,Scrum,1,2,PEN
5,GC7s,5,7,RSA,WAL,PK,14,14,PT
5,GC7s,5,8,WAL,RSA,Restart,1,2,Kick
5,GC7s,5,9,RSA,WAL,Kick,4,4,Kick
5,GC7s,5,10,WAL,RSA,Kick,6,12,HE
5,GC7s,5,11,RSA,WAL,Scrum,4,5,Kick
5,GC7s,5,12,WAL,RSA,Kick,1,8,Poached
5,GC7s,5,13,RSA,WAL,Poach,8,14,TRY
5,GC7s,5,14,WAL,RSA,Restart,1,14,TRY
5,GC7s,5,15,RSA,WAL,Restart,6,14,TRY
5,GC7s,5,16,WAL,RSA,FK,8,14,TRY
5,GC7s,5,17,RSA,WAL,Restart,4,4,PEN
5,GC7s,5,18,WAL,RSA,PK,12,13,PEN
5,GC7s,5,19,RSA,WAL,PK,1,8,Intercepted
5,GC7s,5,20,WAL,RSA,Intercept,8,8,HE
6,GC7s,6,1,KEN,ASM,Scrum,8,14,TRY
6,GC7s,6,2,KEN,ASM,PK,11,14,Intercepted
6,GC7s,6,3,ASM,KEN,Intercept,2,2,HE
6,GC7s,6,4,KEN,ASM,Scrum,14,11,Intercepted
6,GC7s,6,5,ASM,KEN,Intercept,5,7,Tackled to touch
6,GC7s,6,6,KEN,ASM,Line out,9,14,TRY
6,GC7s,6,7,KEN,ASM,Reclaim,10,13,Tackled to touch
6,GC7s,6,8,ASM,KEN,Line out,3,3,Line out stolen
6,GC7s,6,9,KEN,ASM,Line out steal,13,13,TRY
6,GC7s,6,10,ASM,KEN,Restart,6,11,Poached
6,GC7s,6,11,KEN,ASM,Poach,5,15,TRY
6,GC7s,6,12,ASM,KEN,Restart,6,7,Kick
6,GC7s,6,13,KEN,ASM,Kick,9,9,HE
6,GC7s,6,14,ASM,KEN,Scrum,7,8,PEN
6,GC7s,6,15,KEN,ASM,PK,8,14,TRY
6,GC7s,6,16,ASM,KEN,Restart,5,7,Intercepted
6,GC7s,6,17,KEN,ASM,Intercept,9,14,PEN
6,GC7s,6,18,ASM,KEN,PK,2,5,PEN
6,GC7s,6,19,KEN,ASM,PK,11,14,TRY
6,GC7s,6,20,ASM,KEN,Restart,6,8,Counter ruck
6,GC7s,6,21,KEN,ASM,Counter ruck,2,9,HE
6,GC7s,6,22,ASM,KEN,Scrum,7,8,HE
7,GC7s,7,1,FIJ,SCO,Reclaim,10,14,HE
7,GC7s,7,2,SCO,FIJ,Scrum,2,3,PEN
7,GC7s,7,3,FIJ,SCO,PK,13,14,TRY
7,GC7s,7,4,SCO,FIJ,Restart,5,10,Tackled to touch
7,GC7s,7,5,FIJ,SCO,Line out,6,14,HE
7,GC7s,7,6,SCO,FIJ,Scrum,2,2,Kick
7,GC7s,7,7,FIJ,SCO,Kick,7,14,TRY
7,GC7s,7,8,FIJ,SCO,Reclaim,10,13,Intercepted
7,GC7s,7,9,SCO,FIJ,Intercept,3,14,TRY
7,GC7s,7,10,SCO,FIJ,Reclaim,12,12,PEN
7,GC7s,7,11,FIJ,SCO,PK,4,14,TRY
7,GC7s,7,12,SCO,FIJ,Restart,6,6,PEN
7,GC7s,7,13,FIJ,SCO,PK,10,14,TRY
7,GC7s,7,14,SCO,FIJ,Restart,6,8,Poached
7,GC7s,7,15,FIJ,SCO,Poach,8,13,TRY
7,GC7s,7,16,FIJ,SCO,Reclaim,12,14,TRY
7,GC7s,7,17,FIJ,SCO,Reclaim,8,7,Intercepted
7,GC7s,7,18,SCO,FIJ,Intercept,9,14,Intercepted
7,GC7s,7,19,FIJ,SCO,Intercept,2,15,Kick
7,GC7s,7,20,SCO,FIJ,Kick,1,8,HE
8,GC7s,8,1,POR,AUS,Restart,4,7,Maul
8,GC7s,8,2,AUS,POR,Scrum,9,14,TRY
8,GC7s,8,3,POR,AUS,Restart,6,6,Poached
8,GC7s,8,4,AUS,POR,Poach,10,13,TRY
8,GC7s,8,5,POR,AUS,FK,8,10,Maul
8,GC7s,8,6,AUS,POR,Scrum,6,14,TRY
8,GC7s,8,7,POR,AUS,Reclaim,8,10,Tackled to touch
8,GC7s,8,8,AUS,POR,Line out,6,12,Intercepted
8,GC7s,8,9,POR,AUS,Intercept,4,4,Intercepted
8,GC7s,8,10,AUS,POR,Intercept,12,13,TRY
8,GC7s,8,11,AUS,POR,Reclaim,10,13,TRY
8,GC7s,8,12,POR,AUS,Scrum,4,4,HE
9,GC7s,9,1,USA,ENG,Restart,6,7,PEN
9,GC7s,9,2,ENG,USA,PK,9,13,Line out infraction
9,GC7s,9,3,USA,ENG,Scrum,3,15,PEN
9,GC7s,9,4,ENG,USA,PK,1,12,Tackled to touch
9,GC7s,9,5,USA,ENG,Line out,4,14,Poached
9,GC7s,9,6,ENG,USA,Poach,2,14,TRY
9,GC7s,9,7,USA,ENG,Reclaim,11,13,PEN
9,GC7s,9,8,ENG,USA,PK,3,8,HE
9,GC7s,9,9,USA,ENG,Scrum,8,8,Intercepted
9,GC7s,9,10,ENG,USA,Intercept,8,8,PEN
9,GC7s,9,11,USA,ENG,PK,8,14,TRY
9,GC7s,9,12,ENG,USA,Restart,4,7,Counter ruck
9,GC7s,9,13,USA,ENG,Counter ruck,9,6,HE
9,GC7s,9,14,ENG,USA,Line out,10,10,Line out stolen
9,GC7s,9,15,USA,ENG,Line out steal,6,12,Poached
9,GC7s,9,16,ENG,USA,Poach,4,14,TRY
